koridor,nama_halte,latitude,longitude,dana_pembangunan,tahun_pembangunan
1,HALTE KEUDAH,5.559781,95.317649,APBA,2015
1,HALTE PORTABLE MASJID RAYA,5.553979,95.31854,APBA,2015
1,HALTE SP. LIMA,5.556597,95.323211,APBA,2015
1,HALTE KP. KEURAMAT,5.55821,95.327378,APBA,2015
1,HALTE PORTABLE SP. JAMBO TAPE,5.559729,95.330911,APBA,2015
1,HALTE RSUZA,5.565763,95.337352,APBA,2015
1,HALTE KANTOR GUB. ACEH,5.571251,95.342931,APBA,2015
1,HALTE LINGKE,5.575517,95.34732,APBA,2015
1,HALTE PORTABLE SP. MESRA,5.58042,95.353206,APBA,2015
1,HALTE PORTABLE LAMNYONG,5.575038,95.35543,APBA,2015
1,HALTE FAKULTAS TEKNIK,5.566064,95.366778,APBA,2015
1,HALTE FAKULTAS KEDOKTERAN,5.564918,95.372027,APBA,2015
1,HALTE PORTABLE FAKULTAS PERTANIAN,5.566133,95.371822,APBA,2015
1,HALTE MASJID JAMI',5.571456,95.371424,APBA,2015
1,HALTE PORTABLE SMA LIMA,5.574906,95.367055,APBA,2015
1,HALTE LAMNYONG,5.575536,95.355065,APBA,2015
1,HALTE SP. MESRA,5.579951,95.352974,APBA,2015
1,HALTE PRADA,5.573958,95.345972,APBA,2015
1,HALTE DPKA,5.570738,95.342698,APBA,2015
1,HALTE RSUZA,5.564713,95.336554,APBA,2015
1,HALTE PORTABLE JAMBO TAPE,5.559908,95.33142,APBA,2015
1,HALTE KP. KEURAMAT,5.55795,95.327167,APBA,2015
1,HALTE PORTABLE SP. LIMA,5.556219,95.322956,APBA,2015
1,HALTE PEUNAYONG,5.558637,95.318945,APBA,2015
1,HALTE PORTABLE EKONOMI UNSYIAH,5.573954,95.365612,APBA,2017
1,HALTE PORTABLE BEURABONG,5.568054,95.377066,APBA,2017
2,HALTE PELABUHAN ULEE LHEUE TIPE A,5.564047,95.292068,APBA,2016
2,HALTE KUBURAN MASSAL 1 ULEE LHEUE,5.555766,95.285874,APBA,2016
2,HALTE KUBURAN MASSAL 2 ULEE LHEUE (seberang),5.555576,95.285798,APBA,2016
2,HALTE PUNGE 1 (Seberang kantor WIKA),5.550702,95.306764,APBA,2016
2,HALTE PASAR ACEH BARU,5.555505,95.31606,APBA,2016
2,HALTE MASJID RAYA BAITURRAHMAN,5.554093,95.318361,APBA,2016
2,HALTE Sp. SURABAYA 1 (depan Dunia Barusa),5.542107,95.330246,APBA,2016
